lr-Adam,lr-Adam-1,step,aeloss_step,train/total_loss,train/logvar,train/kl_loss,train/nll_loss,train/rec_loss,train/d_weight,train/disc_factor,train/g_loss,discloss_step,train/disc_loss,train/logits_real,train/logits_fake,epoch,aeloss_epoch,discloss_epoch,val/rec_loss,val/total_loss,val/logvar,val/kl_loss,val/nll_loss,val/d_weight,val/disc_factor,val/g_loss,val/disc_loss,val/logits_real,val/logits_fake,valid_mse_epoch,valid_mae_epoch,valid_ssim_epoch
5e-06,5e-06,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,112.88438415527344,3612.30029296875,0.0,505.062255859375,3612.2998046875,0.22047728300094604,5000.0,0.0,1.148148536682129,0.0,0.0,-1.0939470529556274,-1.148148536682129,0,,,,,,,,,,,,,,,,
,,0,,,,,,,,,,,,,,0,112.88438415527344,0.0,,,,,,,,,,,,,,
5e-06,5e-06,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,113.34576416015625,3627.064453125,0.0,507.6585388183594,3627.06396484375,0.2213784158229828,5000.0,0.0,1.1493197679519653,0.0,0.0,-1.062012791633606,-1.1493197679519653,1,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,1,113.34576416015625,0.0,,,,,,,,,,,,,,
5e-06,5e-06,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,112.35071563720703,3595.222900390625,0.0,508.5356140136719,3595.222412109375,0.2194349616765976,5000.0,0.0,1.141902208328247,0.0,0.0,-1.0750906467437744,-1.141902208328247,2,,,,,,,,,,,,,,,,
,,2,,,,,,,,,,,,,,2,112.35071563720703,0.0,,,,,,,,,,,,,,
5e-06,5e-06,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,112.75489044189453,3608.156494140625,0.0,505.0453796386719,3608.156005859375,0.22022436559200287,5000.0,0.0,1.1552196741104126,0.0,0.0,-1.1059211492538452,-1.1552196741104126,3,,,,,,,,,,,,,,,,
,,3,,,,,,,,,,,,,,3,112.75489044189453,0.0,,,,,,,,,,,,,,
5e-06,5e-06,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,112.65233612060547,3604.874755859375,0.0,512.1253051757812,3604.874267578125,0.22002406418323517,5000.0,0.0,1.1426396369934082,0.0,0.0,-1.0588840246200562,-1.1426396369934082,4,,,,,,,,,,,,,,,,
,,4,,,,,,,,,,,,,,4,,,0.20589564740657806,3373.394775390625,0.0,528.9625854492188,3373.394287109375,0.0,0.0,0.46515655517578125,0.0,-0.46517693996429443,-0.46515655517578125,0.07635381817817688,0.18197542428970337,0.9949204325675964
,,4,,,,,,,,,,,,,,4,112.65233612060547,0.0,,,,,,,,,,,,,,
